product_id	product_url	product_img_url	product_name	product_color	product_deviceType	product_price
3235	https://case-mate.com/blush-barely-there-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/b/a/barelythere_blush_1.png	Barely There	Blush	iPhone Xs / X	$25
2731	https://case-mate.com/black-barely-there-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/b/a/barelythere_black_1_2.png	Barely There	Black	iPhone Xs / X	$25
3021	https://case-mate.com/squish-iridescent-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_iphone_x_squish_iridescent_cm037240_1.jpg	Squish	Iridescent	iPhone Xs / X	$20
3022	https://case-mate.com/squish-purple-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_iphone_x_squish_purple_cm037242_1.jpg	Squish	Purple	iPhone Xs / X	$20
2919	https://case-mate.com/naked-tough-tortoiseshell-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_iphone_x_nakedtough_tortoiseshell_cm036842_1_1_.png	Naked Tough	Tortoiseshell	iPhone Xs / X	$28
2746	https://case-mate.com/luminescent-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/l/u/lumi_x.png	Luminescent	Rose Gold	iPhone Xs / X	$40
2943	https://case-mate.com/luminescent-bundle-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/u/n/untitled-1.png	Luminescent Bundle	Rose Gold	iPhone Xs / X	$40
2738	https://case-mate.com/black-compact-mirror-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_compactmirror_black_cm036290_1.png	Compact Mirror	Black	iPhone Xs / X	$20
2739	https://case-mate.com/iridescent-compact-mirror-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_compactmirror_iridescent_cm036288_1.png	Compact Mirror	Iridescent	iPhone Xs / X	$20
2764	https://case-mate.com/iridescent-wristlet-folio-iphonex	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_wristletfolio_iridescent_cm036292_1.png	Folio Wristlet	Iridescent	iPhone Xs / X	$30
2765	https://case-mate.com/rose-gold-wristlet-folio-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_wristlet_rosegold_cm036294_1_1.png	Folio Wristlet	Rose Gold	iPhone Xs / X	$30
2766	https://case-mate.com/black-wristlet-folio-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_wristlet_black_cm036292_1_1.png	Folio Wristlet	Black	iPhone Xs / X	$30
2760	https://case-mate.com/champagne-sheer-glam-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_nakedtough_sheerglam_cm036242_4.png	Naked Tough	Sheer Glam	iPhone Xs / X	$35
2741	https://case-mate.com/black-id-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_tough_id_cm036636_1.png	Tough ID	Black	iPhone Xs / X	$15
2761	https://case-mate.com/black-tough-mag-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_tough_mag_cm036234_1_1.png	Tough Mag	Black	iPhone Xs / X	$35
2763	https://case-mate.com/black-wallet-folio-iphone-xs	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cmi_pagani_walletfolio_black_cm036236_1.png	Wallet Folio	Black	iPhone Xs / X	$60
3346	https://case-mate.com/iphone-xs-purple-sheer-crystal-bundle	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/s/c/sc_purplexs.png	Sheer Crystal Purple Bundle	Purple	iPhone Xs / X	$40
3345	https://case-mate.com/iphone-xs-blush-sheer-crystal-blush-bundle	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/s/c/sc_blush.xspng.png	Sheer Crystal Blush Bundle	Blush	iPhone Xs / X	$40
3344	https://case-mate.com/iphone-xs-clear-sheer-crystal-bundle	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/s/c/sc_clearxs.png	Sheer Crystal Clear Bundle	Clear	iPhone Xs / X	$40
3292	https://case-mate.com/clear-protection-pack-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cm038006_6.1_toughclear_bundle_package.png	Protection Pack	Clear	iPhone XR	$45
3138	https://case-mate.com/clear-tough-clear-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/t/o/tough_clear_1.png	Tough Clear	Clear	iPhone XR	$35
3139	https://case-mate.com/stardust-twinkle-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/t/w/twinkle_1.png	Twinkle	Stardust	iPhone XR	$40
3121	https://case-mate.com/rose-gold-brilliance-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/b/r/brilliance_rg_1.png	Brilliance	Rose Gold	iPhone XR	$60
3126	https://case-mate.com/purple-karat-petals-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/x/r/xrpetals-1.png	Karat Petals	Purple	iPhone XR	$50
3124	https://case-mate.com/karat-petals-ditsy-petals-pink-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/d/i/ditsypetalsxr-1.png	Karat Petals	Ditsy Petals Pink	iPhone XR	$50
3108	https://case-mate.com/pearl-karat-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/m/o/mopxr.png	Karat	Mother of Pearl	iPhone XR	$50
3123	https://case-mate.com/rose-gold-karat-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/k/a/karat_rg_1.png	Karat	Rose Gold	iPhone XR	$50
3136	https://case-mate.com/green-pink-neon-tough-neon-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/t/o/toughneon_grpk_1.png	Tough Neon	Green/Pink Neon	iPhone XR	$35
3137	https://case-mate.com/turquoise-purple-neon-tough-neon-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/t/o/toughneon_1_xr.png	Tough Neon	Turquoise/Purple Neon	iPhone XR	$35
3364	https://case-mate.com/iphone-xr-car-case-black	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/i/p/iphonexr_carcase_1_1.png	Car Case	Black	iPhone XR	$40
3146	https://case-mate.com/gold-waterfall-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/w/f/wf_gld_1.png	Waterfall	Gold	iPhone XR	$40
3147	https://case-mate.com/iridescent-waterfall-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/w/a/waterfalls_iri_1.png	Waterfall	Iridescent	iPhone XR	$40
3149	https://case-mate.com/rose-gold-waterfall-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/w/f/wf_rg_1.png	Waterfall	Rose Gold	iPhone XR	$40
3148	https://case-mate.com/purple-waterfall-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/w/f/wf_cm_armani_1_sticker.png	Waterfall	Purple Glow	iPhone XR	$40
3130	https://case-mate.com/clear-sheer-crystal-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/s/h/sheercrystal_clear_1.png	Sheer Crystal	Clear	iPhone XR	$35
3129	https://case-mate.com/blush-sheer-crystal-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/s/h/sheercrystal_blush_1.png	Sheer Crystal	Blush	iPhone XR	$35
3132	https://case-mate.com/teal-sheer-crystal-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/s/h/sheercrystal_teal_1_1.png	Sheer Crystal	Teal	iPhone XR	$35
3131	https://case-mate.com/purple-sheer-crystal-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/s/h/sheercrystal_purple_1_1.png	Sheer Crystal	Purple	iPhone XR	$35
3293	https://case-mate.com/black-protection-pack-iphone-xr	https://case-mate.com/media/catalog/product/cache/3fc35d798ea034524abc6812c3526e1f/c/m/cm038007_6.1_matte_black_bundle_package.png	Protection Pack	Black	iPhone XR	$45
